include,purpose,use.lw,use.l,tech,batch,id,tin.id,photo.id,date,time,station,tx,stage,len.fr.bin,len.fr,len.p2w,len.p2m,raw.wt,c.wt,len,len.bin,notes,
TRUE,LW,TRUE,FALSE,Kate,NA,37,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,5.8,NA,0.00020,0.00066,5.8,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,38,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,6.8,NA,0.00010,0.00056,6.8,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,39,NA,NA,NA,NA,NA,Fresh,Juv,7,8.5,NA,NA,0.00070,0.00117,8.5,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,40,NA,NA,NA,NA,NA,Fresh,Juv,5,5.0,NA,NA,-0.00020,0.00027,5.0,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,41,NA,NA,NA,NA,NA,Fresh,Juv,5,6.8,NA,NA,-0.00020,0.00027,6.8,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,42,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,5.9,NA,-0.00010,0.00037,5.9,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,43,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,8.2,NA,0.00120,0.00166,8.2,7,NA,
FALSE,LW,TRUE,FALSE,Kate,NA,44,NA,NA,NA,NA,NA,Fresh,Male,13,13.4,NA,NA,NA,NA,13.4,13,weights not recorded for some reason,
TRUE,LW,TRUE,FALSE,Kate,NA,45,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,13.9,NA,0.00740,0.00787,13.9,13,NA,
FALSE,LW,TRUE,FALSE,Kate,NA,46,NA,NA,NA,NA,NA,Fresh,Fem,13,14.7,NA,NA,NA,NA,14.7,13,weights not recorded for some reason,
TRUE,LW,TRUE,FALSE,Kate,NA,47,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,13.8,NA,0.00750,0.00797,13.8,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,48,NA,NA,NA,NA,NA,Fresh,Fem,13,14.5,NA,NA,0.00430,0.00476,14.5,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,49,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,11.6,NA,0.00420,0.00466,11.6,11,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,50,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,14.6,NA,0.00740,0.00787,14.6,13,NA,
