ID	stage	tx	len	diff
208	F	P	16.9	0.0145
209	F	F	8.9	0.001
210	G	F	14.7	0.0078
211	F	P	18.0	0.0176
212	F	F	18.1	0.0122
213	G	P	13.7	0.0075
214	M	P	12.9	0.0063
215	M	P	13.3	0.0074
216	G	F	14.1	0.0055
217	F	F	9.1	0.0022
218	G	P	16.7	0.0141
219	G	P	16.0	0.0106
220	G	F	13.8	0.007
221	G	P	14.4	0.0094
222	F	F	16.8	0.0075
223	G	F	17.5	0.0095
224	G	F	16.6	0.0089
225	G	F	16.7	0.0095
226	M	F	12.9	0.0027
227	G	P	15.2	0.0125
228	G	P	17.9	0.0158
229	M	F	15.2	0
230	M	F	13.1	0.006
231	M	P	13.2	0.0068
232	M	P	12.8	0.0064
233	M	F	12.8	0.0038
234	F	F	13.4	0.0049
235	M	F	12.7	0.0048
